<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BCH-USD,D,01/12/19,00:00:00,214.3600000
GDAX.BCH-USD,D,02/12/19,00:00:00,214.0100000
GDAX.BCH-USD,D,03/12/19,00:00:00,211.8000000
GDAX.BCH-USD,D,04/12/19,00:00:00,207.6200000
GDAX.BCH-USD,D,05/12/19,00:00:00,211.6000000
GDAX.BCH-USD,D,06/12/19,00:00:00,213.2400000
GDAX.BCH-USD,D,07/12/19,00:00:00,211.3800000
GDAX.BCH-USD,D,08/12/19,00:00:00,212.7100000
GDAX.BCH-USD,D,09/12/19,00:00:00,208.3900000
GDAX.BCH-USD,D,10/12/19,00:00:00,206.8000000
GDAX.BCH-USD,D,11/12/19,00:00:00,206.7000000
GDAX.BCH-USD,D,12/12/19,00:00:00,206.3700000
GDAX.BCH-USD,D,13/12/19,00:00:00,211.5200000
GDAX.BCH-USD,D,14/12/19,00:00:00,205.8500000
GDAX.BCH-USD,D,15/12/19,00:00:00,206.8400000
GDAX.BCH-USD,D,16/12/19,00:00:00,195.9500000
GDAX.BCH-USD,D,17/12/19,00:00:00,176.5300000
GDAX.BCH-USD,D,18/12/19,00:00:00,188.7100000
GDAX.BCH-USD,D,19/12/19,00:00:00,186.0600000
GDAX.BCH-USD,D,20/12/19,00:00:00,187.3000000
GDAX.BCH-USD,D,21/12/19,00:00:00,186.1600000
GDAX.BCH-USD,D,22/12/19,00:00:00,196.5500000
GDAX.BCH-USD,D,23/12/19,00:00:00,189.6000000
GDAX.BCH-USD,D,24/12/19,00:00:00,188.3500000
GDAX.BCH-USD,D,25/12/19,00:00:00,185.1500000
GDAX.BCH-USD,D,26/12/19,00:00:00,187.5500000
GDAX.BCH-USD,D,27/12/19,00:00:00,202.9700000
GDAX.BCH-USD,D,28/12/19,00:00:00,205.6900000
GDAX.BCH-USD,D,29/12/19,00:00:00,212.1400000
GDAX.BCH-USD,D,30/12/19,00:00:00,207.7200000
GDAX.BCH-USD,D,31/12/19,00:00:00,203.6500000
GDAX.BCH-USD,D,01/01/20,00:00:00,203.5900000
GDAX.BCH-USD,D,02/01/20,00:00:00,194.9700000
GDAX.BCH-USD,D,03/01/20,00:00:00,221.1600000
GDAX.BCH-USD,D,04/01/20,00:00:00,224.3100000
GDAX.BCH-USD,D,05/01/20,00:00:00,222.7100000
GDAX.BCH-USD,D,06/01/20,00:00:00,244.4700000
GDAX.BCH-USD,D,07/01/20,00:00:00,242.7200000
GDAX.BCH-USD,D,08/01/20,00:00:00,239.8200000
GDAX.BCH-USD,D,09/01/20,00:00:00,237.6500000
GDAX.BCH-USD,D,10/01/20,00:00:00,271.8300000
GDAX.BCH-USD,D,11/01/20,00:00:00,260.9600000
GDAX.BCH-USD,D,12/01/20,00:00:00,270.6000000
GDAX.BCH-USD,D,13/01/20,00:00:00,267.0100000
GDAX.BCH-USD,D,14/01/20,00:00:00,348.5800000
GDAX.BCH-USD,D,15/01/20,00:00:00,339.4000000
GDAX.BCH-USD,D,16/01/20,00:00:00,326.7600000
GDAX.BCH-USD,D,17/01/20,00:00:00,367.2400000
GDAX.BCH-USD,D,18/01/20,00:00:00,339.4900000
GDAX.BCH-USD,D,19/01/20,00:00:00,339.0400000
GDAX.BCH-USD,D,20/01/20,00:00:00,342.9500000
GDAX.BCH-USD,D,21/01/20,00:00:00,342.9800000
GDAX.BCH-USD,D,22/01/20,00:00:00,348.4000000
GDAX.BCH-USD,D,23/01/20,00:00:00,324.5900000
GDAX.BCH-USD,D,24/01/20,00:00:00,318.3800000
GDAX.BCH-USD,D,25/01/20,00:00:00,309.7300000
GDAX.BCH-USD,D,26/01/20,00:00:00,347.3300000
GDAX.BCH-USD,D,27/01/20,00:00:00,362.0400000
GDAX.BCH-USD,D,28/01/20,00:00:00,378.8600000
GDAX.BCH-USD,D,29/01/20,00:00:00,379.6500000
GDAX.BCH-USD,D,30/01/20,00:00:00,391.9900000
GDAX.BCH-USD,D,31/01/20,00:00:00,374.4900000
GDAX.BCH-USD,D,01/02/20,00:00:00,379.9800000
GDAX.BCH-USD,D,02/02/20,00:00:00,377.2200000
GDAX.BCH-USD,D,03/02/20,00:00:00,383.8600000
GDAX.BCH-USD,D,04/02/20,00:00:00,379.4700000
GDAX.BCH-USD,D,05/02/20,00:00:00,444.6800000
GDAX.BCH-USD,D,06/02/20,00:00:00,444.9900000
GDAX.BCH-USD,D,07/02/20,00:00:00,439.3900000
GDAX.BCH-USD,D,08/02/20,00:00:00,444.9800000
GDAX.BCH-USD,D,09/02/20,00:00:00,450.7600000
GDAX.BCH-USD,D,10/02/20,00:00:00,453.0900000
GDAX.BCH-USD,D,11/02/20,00:00:00,463.8500000
GDAX.BCH-USD,D,12/02/20,00:00:00,474.4300000
GDAX.BCH-USD,D,13/02/20,00:00:00,476.9900000
GDAX.BCH-USD,D,14/02/20,00:00:00,494.5900000
GDAX.BCH-USD,D,15/02/20,00:00:00,439.0300000
GDAX.BCH-USD,D,16/02/20,00:00:00,411.5900000
GDAX.BCH-USD,D,17/02/20,00:00:00,413.0000000
GDAX.BCH-USD,D,18/02/20,00:00:00,421.1100000
GDAX.BCH-USD,D,19/02/20,00:00:00,379.2200000
GDAX.BCH-USD,D,20/02/20,00:00:00,371.6500000
GDAX.BCH-USD,D,21/02/20,00:00:00,378.3900000
GDAX.BCH-USD,D,22/02/20,00:00:00,373.9900000
GDAX.BCH-USD,D,23/02/20,00:00:00,402.6300000
GDAX.BCH-USD,D,24/02/20,00:00:00,377.6200000
GDAX.BCH-USD,D,25/02/20,00:00:00,352.3600000
GDAX.BCH-USD,D,26/02/20,00:00:00,316.5000000
GDAX.BCH-USD,D,27/02/20,00:00:00,324.2000000
GDAX.BCH-USD,D,28/02/20,00:00:00,316.0300000
GDAX.BCH-USD,D,29/02/20,00:00:00,305.9600000
GDAX.BCH-USD,D,01/03/20,00:00:00,311.6500000
GDAX.BCH-USD,D,02/03/20,00:00:00,339.7300000
GDAX.BCH-USD,D,03/03/20,00:00:00,329.7900000
GDAX.BCH-USD,D,04/03/20,00:00:00,319.7300000
GDAX.BCH-USD,D,05/03/20,00:00:00,337.6700000
GDAX.BCH-USD,D,06/03/20,00:00:00,351.3800000
GDAX.BCH-USD,D,07/03/20,00:00:00,331.3000000
GDAX.BCH-USD,D,08/03/20,00:00:00,274.1900000
GDAX.BCH-USD,D,09/03/20,00:00:00,273.0500000
GDAX.BCH-USD,D,10/03/20,00:00:00,271.5800000
GDAX.BCH-USD,D,11/03/20,00:00:00,267.1100000
GDAX.BCH-USD,D,12/03/20,00:00:00,146.7700000
GDAX.BCH-USD,D,13/03/20,00:00:00,180.1200000
GDAX.BCH-USD,D,14/03/20,00:00:00,166.8900000
GDAX.BCH-USD,D,15/03/20,00:00:00,177.4700000
GDAX.BCH-USD,D,16/03/20,00:00:00,173.2600000
GDAX.BCH-USD,D,17/03/20,00:00:00,182.7900000
GDAX.BCH-USD,D,18/03/20,00:00:00,185.3800000
GDAX.BCH-USD,D,19/03/20,00:00:00,221.7800000
GDAX.BCH-USD,D,20/03/20,00:00:00,214.5100000
GDAX.BCH-USD,D,21/03/20,00:00:00,220.3500000
GDAX.BCH-USD,D,22/03/20,00:00:00,202.7500000
GDAX.BCH-USD,D,23/03/20,00:00:00,222.4400000
GDAX.BCH-USD,D,24/03/20,00:00:00,228.0300000
GDAX.BCH-USD,D,25/03/20,00:00:00,220.9400000
GDAX.BCH-USD,D,26/03/20,00:00:00,228.8100000
GDAX.BCH-USD,D,27/03/20,00:00:00,213.8800000
GDAX.BCH-USD,D,28/03/20,00:00:00,214.2900000
GDAX.BCH-USD,D,29/03/20,00:00:00,205.4500000
GDAX.BCH-USD,D,30/03/20,00:00:00,220.4100000
GDAX.BCH-USD,D,31/03/20,00:00:00,219.0000000
GDAX.BCH-USD,D,01/04/20,00:00:00,224.2800000
GDAX.BCH-USD,D,02/04/20,00:00:00,232.1100000
GDAX.BCH-USD,D,03/04/20,00:00:00,236.2900000
GDAX.BCH-USD,D,04/04/20,00:00:00,238.5700000
GDAX.BCH-USD,D,05/04/20,00:00:00,231.4200000
GDAX.BCH-USD,D,06/04/20,00:00:00,258.4100000
GDAX.BCH-USD,D,07/04/20,00:00:00,252.5900000
GDAX.BCH-USD,D,08/04/20,00:00:00,267.3800000
GDAX.BCH-USD,D,09/04/20,00:00:00,256.3700000
GDAX.BCH-USD,D,10/04/20,00:00:00,233.1600000
GDAX.BCH-USD,D,11/04/20,00:00:00,233.3800000
GDAX.BCH-USD,D,12/04/20,00:00:00,233.6500000
GDAX.BCH-USD,D,13/04/20,00:00:00,224.4200000
GDAX.BCH-USD,D,14/04/20,00:00:00,223.4100000
